komdigi,259,370.51,2025-11-26 12:43:59
oi,912,44.38,2025-11-27 06:55:51
k,929,35.81,2025-11-27 07:05:04
r,926,37.09,2025-11-27 07:06:23
nigg,780,110.03,2025-11-27 11:12:22
adrian,597,201.51,2025-11-27 11:31:43
34,927,36.79,2025-11-27 12:05:53
dfgh,0,573.65,2025-11-27 12:16:02
knl,911,44.70,2025-11-27 18:08:58
